#reverse_pos	count	cdf
569	45	0.801775
570	31	0.801921
571	46	0.802139
572	24	0.802252
573	19	0.802342
574	23	0.802451
575	36	0.802621
576	33	0.802777
577	14	0.802843
578	14	0.802909
579	13	0.80297
580	20	0.803065
581	16	0.803141
582	20	0.803235
583	17	0.803315
584	20	0.80341
585	32	0.803561
586	15	0.803632
587	20	0.803727
588	21	0.803826
589	21	0.803925
590	25	0.804043
591	25	0.804161
592	16	0.804237
593	32	0.804388
594	24	0.804502
595	20	0.804596
596	26	0.804719
597	21	0.804818
598	21	0.804917
599	24	0.805031
600	22	0.805135
601	22	0.805239
602	29	0.805376
603	22	0.80548
604	21	0.805579
605	12	0.805636
606	19	0.805725
607	18	0.80581
608	54	0.806066
609	86	0.806472
610	77	0.806836
611	72	0.807176
612	109	0.807691
613	72	0.808031
614	67	0.808348
615	53	0.808599
616	30	0.80874
617	57	0.80901
618	97	0.809468
619	162	0.810234
620	121	0.810805
621	46	0.811023
622	83	0.811415
623	46	0.811632
624	63	0.81193
625	36	0.8121
626	18	0.812185
627	24	0.812299
628	13	0.81236
629	15	0.812431
630	27	0.812558
631	35	0.812724
632	22	0.812828
633	23	0.812937
634	16	0.813012
635	22	0.813116
636	17	0.813196
637	24	0.81331
638	10	0.813357
639	24	0.81347
640	23	0.813579
641	21	0.813678
642	22	0.813782
643	19	0.813872
644	17	0.813952
645	23	0.814061
646	28	0.814193
647	21	0.814293
648	26	0.814416
649	26	0.814538
650	19	0.814628
651	23	0.814737
652	21	0.814836
653	18	0.814921
654	17	0.815002
655	18	0.815087
656	16	0.815162
657	11	0.815214
658	15	0.815285
659	16	0.815361
660	21	0.81546
661	12	0.815517
662	12	0.815573
663	26	0.815696
664	11	0.815748
665	18	0.815833
666	21	0.815932
667	13	0.815994
668	14	0.81606
669	15	0.816131
670	6	0.816159
671	15	0.81623
672	15	0.816301
673	19	0.816391
674	13	0.816452
675	13	0.816514
676	14	0.81658
677	13	0.816641
678	18	0.816726
679	17	0.816807
680	21	0.816906
681	14	0.816972
682	10	0.817019
683	13	0.817081
684	10	0.817128
685	19	0.817218
686	14	0.817284
687	15	0.817355
688	11	0.817407
689	21	0.817506
690	17	0.817586
691	23	0.817695
692	15	0.817766
693	14	0.817832
694	21	0.817931
695	23	0.81804
696	12	0.818097
697	11	0.818149
698	20	0.818243
699	13	0.818305
700	12	0.818361
701	16	0.818437
702	18	0.818522
703	13	0.818583
704	13	0.818645
705	8	0.818683
706	16	0.818758
707	11	0.81881
708	18	0.818895
709	11	0.818947
710	17	0.819028
711	16	0.819103
712	14	0.819169
713	13	0.819231
714	13	0.819292
715	14	0.819358
716	13	0.81942
717	9	0.819462
718	5	0.819486
719	13	0.819547
720	9	0.81959
721	13	0.819651
722	19	0.819741
723	9	0.819784
724	11	0.819836
725	16	0.819911
726	14	0.819978
727	14	0.820044
728	9	0.820086
729	15	0.820157
730	12	0.820214
731	19	0.820304
732	8	0.820341
733	11	0.820393
734	14	0.82046
735	12	0.820516
736	10	0.820563
737	10	0.820611
738	5	0.820634
739	14	0.820701
740	11	0.820752
741	16	0.820828
742	15	0.820899
743	22	0.821003
744	14	0.821069
745	13	0.821131
746	13	0.821192
747	9	0.821234
748	7	0.821268
749	8	0.821305
750	9	0.821348
751	7	0.821381
752	15	0.821452
753	13	0.821513
754	12	0.82157
755	12	0.821627
756	15	0.821698
757	10	0.821745
758	17	0.821825
759	9	0.821868
760	10	0.821915
761	18	0.822
762	25	0.822118
763	18	0.822203
764	18	0.822288
765	11	0.82234
766	15	0.822411
767	13	0.822473
768	4	0.822491
769	10	0.822539
770	15	0.82261
771	8	0.822647
772	12	0.822704
773	14	0.82277
774	15	0.822841
775	10	0.822888
776	11	0.82294
777	12	0.822997
778	12	0.823054
779	9	0.823096
780	16	0.823172
781	14	0.823238
782	12	0.823295
783	9	0.823337
784	7	0.82337
785	16	0.823446
786	7	0.823479
