#distance	count	cdf
906	14	0.754089
907	16	0.754182
908	8	0.754228
909	8	0.754275
910	8	0.754321
911	13	0.754396
912	13	0.754472
913	12	0.754541
914	7	0.754582
915	12	0.754652
916	12	0.754721
917	13	0.754797
918	16	0.75489
919	16	0.754982
920	14	0.755064
921	6	0.755098
922	9	0.755151
923	8	0.755197
924	7	0.755238
925	8	0.755284
926	16	0.755377
927	8	0.755423
928	18	0.755528
929	10	0.755586
930	11	0.75565
931	8	0.755696
932	14	0.755777
933	9	0.755829
934	11	0.755893
935	10	0.755951
936	13	0.756027
937	9	0.756079
938	9	0.756131
939	12	0.756201
940	9	0.756253
941	12	0.756323
942	9	0.756375
943	13	0.75645
944	10	0.756508
945	13	0.756584
946	4	0.756607
947	13	0.756682
948	12	0.756752
949	6	0.756787
950	7	0.756827
951	6	0.756862
952	15	0.756949
953	10	0.757007
954	7	0.757048
955	11	0.757112
956	9	0.757164
957	10	0.757222
958	7	0.757262
959	7	0.757303
960	5	0.757332
961	12	0.757402
962	11	0.757466
963	8	0.757512
964	4	0.757535
965	11	0.757599
966	11	0.757663
967	8	0.757709
968	13	0.757785
969	7	0.757825
970	11	0.757889
971	5	0.757918
972	10	0.757976
973	8	0.758022
974	7	0.758063
975	9	0.758115
976	15	0.758202
977	9	0.758255
978	8	0.758301
979	7	0.758342
980	5	0.758371
981	11	0.758434
982	5	0.758463
983	12	0.758533
984	6	0.758568
985	14	0.758649
986	1	0.758655
987	13	0.75873
988	14	0.758812
989	12	0.758881
990	8	0.758928
991	13	0.759003
992	15	0.75909
993	7	0.759131
994	7	0.759171
995	12	0.759241
996	8	0.759287
997	10	0.759345
998	6	0.75938
999	7	0.759421
1000	8	0.759467
1001	10	0.759525
1002	9	0.759577
1003	9	0.75963
1004	8	0.759676
1005	18	0.75978
1006	17	0.759879
1007	12	0.759949
1008	16	0.760042
1009	12	0.760111
1010	10	0.760169
1011	5	0.760198
1012	11	0.760262
1013	11	0.760326
1014	5	0.760355
1015	10	0.760413
1016	19	0.760523
1017	8	0.76057
1018	10	0.760628
1019	8	0.760674
1020	16	0.760767
1021	13	0.760842
1022	11	0.760906
1023	12	0.760976
1024	11	0.761039
1025	10	0.761097
1026	9	0.76115
1027	8	0.761196
1028	12	0.761266
1029	7	0.761306
1030	11	0.76137
1031	8	0.761417
1032	3	0.761434
1033	9	0.761486
1034	10	0.761544
1035	7	0.761585
1036	2	0.761596
1037	14	0.761678
1038	10	0.761736
1039	7	0.761776
1040	15	0.761863
1041	8	0.76191
1042	7	0.76195
1043	13	0.762026
1044	8	0.762072
1045	12	0.762142
1046	12	0.762211
1047	9	0.762264
1048	7	0.762304
1049	9	0.762356
1050	7	0.762397
1051	10	0.762455
1052	6	0.76249
1053	9	0.762542
1054	9	0.762594
1055	12	0.762664
1056	10	0.762722
1057	9	0.762774
1058	6	0.762809
1059	9	0.762861
1060	9	0.762913
1061	6	0.762948
1062	10	0.763006
1063	11	0.76307
1064	10	0.763128
1065	7	0.763169
1066	5	0.763198
1067	11	0.763262
1068	9	0.763314
1069	6	0.763349
1070	7	0.763389
1071	13	0.763465
1072	8	0.763511
1073	7	0.763552
1074	10	0.76361
1075	7	0.76365
1076	11	0.763714
1077	9	0.763766
1078	14	0.763848
1079	10	0.763906
1080	12	0.763975
1081	5	0.764004
1082	10	0.764062
1083	5	0.764091
1084	5	0.76412
1085	7	0.764161
1086	10	0.764219
1087	11	0.764283
1088	9	0.764335
1089	16	0.764428
1090	16	0.764521
1091	5	0.76455
1092	12	0.764619
1093	7	0.76466
1094	9	0.764712
1095	14	0.764793
1096	6	0.764828
1097	7	0.764869
1098	8	0.764915
1099	6	0.76495
1100	8	0.764996
1101	5	0.765025
1102	10	0.765083
1103	5	0.765112
1104	9	0.765165
1105	7	0.765205
1106	12	0.765275
1107	10	0.765333
1108	5	0.765362
1109	6	0.765397
1110	7	0.765437
1111	6	0.765472
1112	9	0.765524
1113	10	0.765582
1114	14	0.765664
1115	9	0.765716
1116	10	0.765774
1117	5	0.765803
1118	7	0.765843
1119	9	0.765896
1120	6	0.76593
1121	7	0.765971
1122	9	0.766023
1123	10	0.766081
1124	8	0.766128
1125	5	0.766157
1126	12	0.766226
1127	8	0.766273
1128	13	0.766348
1129	8	0.766395
1130	7	0.766435
1131	8	0.766482
1132	11	0.766545
1133	13	0.766621
1134	12	0.76669
1135	4	0.766714
1136	10	0.766772
1137	19	0.766882
1138	4	0.766905
1139	10	0.766963
1140	15	0.76705
1141	7	0.767091
1142	8	0.767137
1143	13	0.767213
1144	9	0.767265
1145	16	0.767358
1146	11	0.767421
1147	6	0.767456
1148	13	0.767532
1149	6	0.767567
1150	9	0.767619
1151	2	0.76763
1152	10	0.767688
1153	11	0.767752
1154	9	0.767804
1155	9	0.767857
1156	6	0.767891
1157	8	0.767938
1158	9	0.76799
1159	11	0.768054
1160	7	0.768095
1161	11	0.768158
1162	7	0.768199
1163	8	0.768245
1164	12	0.768315
1165	8	0.768361
1166	12	0.768431
1167	7	0.768472
1168	4	0.768495
1169	9	0.768547
1170	13	0.768622
1171	6	0.768657
1172	3	0.768675
1173	9	0.768727
1174	13	0.768802
1175	12	0.768872
1176	6	0.768907
1177	5	0.768936
1178	11	0.769
1179	13	0.769075
1180	6	0.76911
1181	8	0.769156
1182	5	0.769185
1183	8	0.769232
1184	8	0.769278
1185	6	0.769313
1186	6	0.769348
1187	6	0.769383
1188	9	0.769435
1189	6	0.76947
1190	7	0.76951
1191	10	0.769568
1192	7	0.769609
1193	7	0.769649
1194	5	0.769678
1195	9	0.769731
1196	11	0.769794
1197	9	0.769847
1198	7	0.769887
1199	6	0.769922
1200	3	0.769939
1201	4	0.769963
1202	6	0.769998
1203	7	0.770038
1204	5	0.770067
1205	6	0.770102
1206	7	0.770143
1207	9	0.770195
1208	10	0.770253
1209	8	0.770299
1210	7	0.77034
1211	5	0.770369
1212	3	0.770386
1213	6	0.770421
1214	8	0.770467
1215	9	0.77052
1216	7	0.77056
1217	6	0.770595
1218	6	0.77063
1219	4	0.770653
1220	4	0.770676
1221	7	0.770717
1222	8	0.770763
1223	2	0.770775
1224	4	0.770798
1225	4	0.770821
1226	4	0.770845
1227	5	0.770874
1228	9	0.770926
1229	13	0.771001
1230	7	0.771042
1231	7	0.771082
1232	6	0.771117
1233	11	0.771181
1234	9	0.771233
1235	7	0.771274
1236	10	0.771332
1237	14	0.771413
1238	7	0.771454
1239	7	0.771494
1240	3	0.771512
1241	5	0.771541
1242	9	0.771593
1243	3	0.77161
1244	6	0.771645
1245	12	0.771715
1246	5	0.771744
1247	3	0.771761
1248	9	0.771813
1249	5	0.771842
1250	16	0.771935
1251	10	0.771993
1252	6	0.772028
1253	7	0.772069
1254	4	0.772092
1255	9	0.772144
1256	4	0.772167
1257	9	0.77222
1258	4	0.772243
1259	8	0.772289
1260	12	0.772359
1261	6	0.772394
1262	7	0.772434
1263	9	0.772486
1264	8	0.772533
1265	7	0.772574
1266	7	0.772614
1267	9	0.772666
1268	10	0.772724
1269	5	0.772753
1270	3	0.772771
1271	5	0.7728
1272	12	0.772869
1273	8	0.772916
1274	7	0.772956
1275	4	0.77298
1276	6	0.773014
1277	10	0.773072
1278	11	0.773136
1279	2	0.773148
1280	5	0.773177
1281	9	0.773229
1282	6	0.773264
1283	12	0.773334
1284	12	0.773403
1285	4	0.773426
1286	9	0.773479
1287	6	0.773513
1288	5	0.773542
1289	7	0.773583
1290	9	0.773635
1291	4	0.773658
1292	6	0.773693
1293	13	0.773769
1294	6	0.773804
1295	9	0.773856
1296	12	0.773925
1297	7	0.773966
1298	9	0.774018
1299	10	0.774076
1300	4	0.774099
1301	5	0.774128
