#distance	count	cdf
1054	1	0.0497012
1055	4	0.0497071
1056	5	0.0497144
1057	5	0.0497218
1058	2	0.0497247
1059	2	0.0497277
1060	1	0.0497292
1062	4	0.0497351
1063	5	0.0497424
1064	6	0.0497513
1065	4	0.0497571
1066	3	0.0497616
1067	1	0.049763
1068	5	0.0497704
1070	2	0.0497733
1071	3	0.0497778
1072	2	0.0497807
1073	2	0.0497837
1074	4	0.0497895
1075	6	0.0497984
1076	1	0.0497999
1077	2	0.0498028
1078	4	0.0498087
1079	4	0.0498146
1080	3	0.049819
1081	1	0.0498205
1082	4	0.0498264
1083	1	0.0498278
1084	1	0.0498293
1086	4	0.0498352
1088	5	0.0498426
1089	2	0.0498455
1090	3	0.0498499
1091	2	0.0498529
1092	2	0.0498558
1093	1	0.0498573
1095	5	0.0498647
1096	6	0.0498735
1097	1	0.049875
1098	3	0.0498794
1099	3	0.0498838
1100	1	0.0498853
1101	2	0.0498882
1102	3	0.0498926
1103	1	0.0498941
1104	1	0.0498956
1105	4	0.0499015
1106	1	0.0499029
1107	1	0.0499044
1108	2	0.0499074
1109	1	0.0499088
1110	6	0.0499177
1111	3	0.0499221
1112	1	0.0499236
1113	4	0.0499295
1114	2	0.0499324
1115	1	0.0499339
1116	1	0.0499353
1117	1	0.0499368
1119	1	0.0499383
1120	1	0.0499398
1121	3	0.0499442
1122	2	0.0499471
1124	2	0.0499501
1125	1	0.0499515
1126	2	0.0499545
1128	2	0.0499574
1129	3	0.0499619
1130	3	0.0499663
1131	5	0.0499736
1132	2	0.0499766
1134	3	0.049981
1135	6	0.0499898
1136	2	0.0499928
1137	1	0.0499943
1138	1	0.0499957
1139	1	0.0499972
1140	4	0.0500031
1141	2	0.050006
1142	3	0.0500105
1143	1	0.0500119
1144	2	0.0500149
1145	3	0.0500193
1146	3	0.0500237
1147	1	0.0500252
1148	1	0.0500267
1149	2	0.0500296
1150	1	0.0500311
1151	2	0.050034
1152	1	0.0500355
1153	1	0.050037
1156	2	0.0500399
1157	2	0.0500429
1158	3	0.0500473
1159	4	0.0500532
1160	2	0.0500561
1161	2	0.0500591
1162	1	0.0500605
1164	1	0.050062
1167	2	0.0500649
1168	2	0.0500679
1169	2	0.0500708
1170	2	0.0500738
1171	1	0.0500753
1174	1	0.0500767
1176	1	0.0500782
1178	1	0.0500797
1179	4	0.0500856
1180	1	0.050087
1181	3	0.0500915
1182	3	0.0500959
1184	2	0.0500988
1185	3	0.0501032
1186	1	0.0501047
1187	1	0.0501062
1188	2	0.0501091
1189	2	0.0501121
1191	2	0.050115
1193	2	0.050118
1194	2	0.0501209
1195	1	0.0501224
1196	3	0.0501268
1198	4	0.0501327
1199	3	0.0501371
1200	2	0.0501401
1201	5	0.0501474
1202	6	0.0501563
1203	1	0.0501577
1204	2	0.0501607
1205	2	0.0501636
1206	4	0.0501695
1207	1	0.050171
1208	2	0.0501739
1210	3	0.0501783
1211	2	0.0501813
1212	3	0.0501857
1213	3	0.0501901
1214	2	0.0501931
1215	2	0.050196
1216	2	0.050199
1217	1	0.0502004
1218	4	0.0502063
1219	2	0.0502093
1220	4	0.0502152
1221	2	0.0502181
1222	3	0.0502225
1223	1	0.050224
1224	1	0.0502255
1225	1	0.0502269
1226	3	0.0502314
1227	2	0.0502343
1228	2	0.0502373
1229	2	0.0502402
1230	2	0.0502431
1231	1	0.0502446
1232	4	0.0502505
1233	2	0.0502535
1234	5	0.0502608
1235	2	0.0502638
1236	3	0.0502682
1237	2	0.0502711
1238	29	0.0503138
1239	3	0.0503183
1240	2	0.0503212
1241	1	0.0503227
1242	2	0.0503256
1243	4	0.0503315
1244	1	0.050333
1245	1	0.0503345
1246	2	0.0503374
1247	2	0.0503403
1249	2	0.0503433
1250	1	0.0503448
1251	3	0.0503492
1252	4	0.0503551
1253	1	0.0503565
1254	2	0.0503595
1255	4	0.0503654
1256	1	0.0503669
1257	1	0.0503683
1258	4	0.0503742
1259	4	0.0503801
1260	2	0.0503831
1261	1	0.0503845
1262	4	0.0503904
1263	3	0.0503948
1264	1	0.0503963
1265	3	0.0504007
1266	2	0.0504037
1267	2	0.0504066
1268	2	0.0504096
1269	3	0.050414
1271	2	0.0504169
1272	2	0.0504199
1273	1	0.0504213
1274	1	0.0504228
1275	2	0.0504258
1278	6	0.0504346
1279	1	0.0504361
1280	2	0.050439
1282	1	0.0504405
1283	1	0.050442
1284	6	0.0504508
1285	1	0.0504523
1286	2	0.0504552
1289	1	0.0504567
1290	3	0.0504611
1291	2	0.0504641
1292	4	0.0504699
1293	1	0.0504714
1294	2	0.0504744
1295	1	0.0504758
1296	1	0.0504773
1297	6	0.0504861
1299	3	0.0504906
1300	1	0.050492
1301	3	0.0504965
1302	1	0.0504979
1303	2	0.0505009
1304	2	0.0505038
1305	3	0.0505082
1306	3	0.0505127
1307	1	0.0505141
1309	5	0.0505215
1310	3	0.0505259
1311	1	0.0505274
1312	2	0.0505303
1314	1	0.0505318
1315	2	0.0505347
1316	3	0.0505392
1317	5	0.0505465
1318	2	0.0505495
1319	5	0.0505568
1321	1	0.0505583
1322	7	0.0505686
1323	5	0.050576
1324	1	0.0505775
1325	1	0.0505789
1326	1	0.0505804
1327	2	0.0505833
1328	3	0.0505878
1329	1	0.0505892
1331	2	0.0505922
1332	3	0.0505966
1333	3	0.050601
1334	2	0.050604
1335	2	0.0506069
1336	1	0.0506084
1337	3	0.0506128
1338	1	0.0506143
1339	1	0.0506157
1340	3	0.0506202
1341	3	0.0506246
1342	1	0.0506261
1344	1	0.0506275
1345	2	0.0506305
1346	1	0.0506319
1347	2	0.0506349
1349	1	0.0506364
1350	2	0.0506393
1351	2	0.0506423
1353	2	0.0506452
1354	1	0.0506467
1355	1	0.0506481
1356	3	0.0506526
1359	1	0.050654
1360	3	0.0506585
1361	3	0.0506629
1362	3	0.0506673
1363	1	0.0506688
1364	1	0.0506702
1365	2	0.0506732
1367	1	0.0506747
1368	3	0.0506791
1369	1	0.0506805
1370	2	0.0506835
1372	4	0.0506894
1374	3	0.0506938
1377	4	0.0506997
1379	1	0.0507012
1380	1	0.0507026
1381	1	0.0507041
1382	3	0.0507085
1384	3	0.0507129
1385	4	0.0507188
1386	3	0.0507233
1387	2	0.0507262
1388	1	0.0507277
1389	3	0.0507321
1390	4	0.050738
1391	3	0.0507424
1392	6	0.0507512
1393	1	0.0507527
1394	2	0.0507557
1395	2	0.0507586
1397	4	0.0507645
1398	1	0.050766
1399	1	0.0507674
1400	3	0.0507718
1402	3	0.0507763
1404	1	0.0507777
1405	1	0.0507792
1406	4	0.0507851
1407	4	0.050791
1408	3	0.0507954
1409	2	0.0507984
1410	1	0.0507998
1411	3	0.0508042
1412	1	0.0508057
1413	2	0.0508087
1414	6	0.0508175
1415	3	0.0508219
1416	3	0.0508263
1417	2	0.0508293
1418	4	0.0508352
1419	3	0.0508396
1420	1	0.0508411
1422	5	0.0508484
1423	1	0.0508499
1424	1	0.0508514
1425	1	0.0508528
1426	2	0.0508558
1427	1	0.0508573
1428	3	0.0508617
1429	1	0.0508632
1430	4	0.050869
1432	1	0.0508705
1433	4	0.0508764
1434	1	0.0508779
1435	1	0.0508794
1436	2	0.0508823
1437	2	0.0508852
1439	2	0.0508882
1441	2	0.0508911
1442	1	0.0508926
1443	4	0.0508985
1444	1	0.0509
1445	1	0.0509014
1446	3	0.0509059
1447	2	0.0509088
1448	1	0.0509103
1449	1	0.0509118
1450	2	0.0509147
